Product,ProductType,IH,CH,NT,PrecioAComprar
AJ Fernandez - San Lotano Requiem Maduro Toro,20 Box,,118.0,,67.0
AJ Fernandez - San Lotano The Bull Gordo,20 Box,,146.0,,83.0
AJ Fernandez - San Lotano The Bull Robusto,20 Box,,141.0,,80.0
AJ Fernandez - San Lotano The Bull Toro,20 Box,,142.0,,81.0
AJ Fernandez - Viva La Vida Club 500,10 Box,,107.0,,61.0
AJ Fernandez - Viva La Vida Diadema,10 Box,,105.0,,60.0
AJ Fernandez - Viva La Vida Lancero,10 Box,,107.0,,61.0
AJ Fernandez - Viva La Vida Robusto,20 Box,,144.0,,82.0
AJ Fernandez - Viva La Vida Toro,20 Box,,148.0,,84.0
Alec Bradley - American Sun Grown Blend Churchill,20 Box,,114.0,,65.0
Alec Bradley - Black Market Churchill,22 Box,,128.0,,73.0
Alec Bradley - Black Market Churchill,24 Box,,132.0,,75.0
Alec Bradley - Black Market Esteli Churchill,22 Box,,131.0,,75.0
Alec Bradley - Black Market Esteli Churchill,24 Box,,139.0,,79.0
Alec Bradley - Black Market Esteli Gordo,22 Box,,137.0,,78.0
Alec Bradley - Black Market Esteli Gordo,24 Box,,145.0,,83.0
Alec Bradley - Black Market Esteli Punk,22 Box,,105.0,,60.0
Alec Bradley - Black Market Esteli Punk,24 Box,,110.0,,63.0
Alec Bradley - Black Market Esteli Robusto,22 Box,,116.0,,66.0
Alec Bradley - Black Market Esteli Robusto,24 Box,,123.0,,70.0
Alec Bradley - Black Market Esteli Toro,24 Box,,132.0,,75.0
Alec Bradley - Black Market Esteli Torpedo,24 Box,,139.0,,79.0
Alec Bradley - Black Market Filthy Hooligan Barber Pole,24 Box,,162.0,,92.0
Alec Bradley - Black Market Filthy Hooligan Shamrock,10 Box,,106.0,,61.0
Alec Bradley - Black Market Gordo,22 Box,,133.0,,76.0
Alec Bradley - Black Market Gordo,24 Box,,137.0,,78.0
Alec Bradley - Black Market Punk,24 Box,,110.0,,63.0
Alec Bradley - Black Market Robusto,22 Box,,118.0,,67.0
Alec Bradley - Black Market Robusto,24 Box,,121.0,,69.0
Alec Bradley - Black Market Toro,24 Box,,131.0,,75.0
Alec Bradley - Black Market Torpedo,24 Box,,132.0,,75.0
